# board	channel	time[ps]	E	E_calib	E_short	Flag	board	channel	time[ps]	E	E_calib	E_short	Flag
0.00	1.00	14363583636000.00	562.00	595.44	52.00	nan	0.00	0.00	14363583648000.00	159.00	111.48	22.00	nan
0.00	1.00	14524187768000.00	633.00	670.66	73.00	nan	0.00	0.00	14524187792000.00	81.00	56.79	14.00	nan
0.00	1.00	14549785228000.00	569.00	602.86	61.00	nan	0.00	0.00	14549785240000.00	66.00	46.28	12.00	nan
0.00	0.00	14646398960000.00	389.00	272.74	38.00	nan	0.00	1.00	14646398960000.00	404.00	428.04	41.00	nan
0.00	1.00	14686025536000.00	623.00	660.07	63.00	nan	0.00	0.00	14686025552000.00	85.00	59.60	14.00	nan
0.00	1.00	14718917468000.00	402.00	425.92	44.00	nan	0.00	0.00	14718917476000.00	142.00	99.56	19.00	nan
0.00	1.00	14722588144000.00	393.00	416.38	46.00	nan	0.00	0.00	14722588168000.00	66.00	46.28	14.00	nan
0.00	1.00	14786190200000.00	501.00	530.81	62.00	nan	0.00	0.00	14786190204000.00	164.00	114.99	23.00	nan
0.00	1.00	14855938524000.00	532.00	563.65	55.00	nan	0.00	0.00	14855938544000.00	89.00	62.40	15.00	nan
0.00	0.00	14902690944000.00	411.00	288.17	36.00	nan	0.00	1.00	14902690948000.00	202.00	214.02	25.00	nan
0.00	0.00	14973137016000.00	236.00	165.47	34.00	nan	0.00	1.00	14973137032000.00	103.00	109.13	18.00	nan
0.00	1.00	15034942684000.00	375.00	397.31	47.00	nan	0.00	0.00	15034942692000.00	132.00	92.55	19.00	nan
0.00	0.00	15066669368000.00	249.00	174.58	31.00	nan	0.00	1.00	15066669368000.00	206.00	218.26	27.00	nan
0.00	1.00	15106714132000.00	565.00	598.62	61.00	nan	0.00	0.00	15106714140000.00	154.00	107.98	22.00	nan
0.00	1.00	15109126096000.00	593.00	628.28	52.00	nan	0.00	0.00	15109126112000.00	173.00	121.30	22.00	nan
